Character(decimal),Decimal,Character,Hex,Type,Name,Braille
𒂃,73859,𒂃,12083,letter,CUNEIFORM SIGN DUH,⠙⠥⠓
𒂄,73860,𒂄,12084,letter,CUNEIFORM SIGN DUN,⠙⠥⠝
𒂅,73861,𒂅,12085,letter,CUNEIFORM SIGN DUN3,⠙⠥⠝⠒
𒂆,73862,𒂆,12086,letter,CUNEIFORM SIGN DUN3 GUNU,⠙⠥⠝⠒ ⠛⠥⠝⠥
𒂇,73863,𒂇,12087,letter,CUNEIFORM SIGN DUN3 GUNU GUNU,⠙⠥⠝⠒ ⠛⠥⠝⠥ ⠛⠥⠝⠥
𒂈,73864,𒂈,12088,letter,CUNEIFORM SIGN DUN4,⠙⠥⠝⠲
𒂉,73865,𒂉,12089,letter,CUNEIFORM SIGN DUR2,⠙⠥⠗
𒂊,73866,𒂊,1208A,letter,CUNEIFORM SIGN E,⠑
𒂋,73867,𒂋,1208B,letter,CUNEIFORM SIGN E TIMES PAP,⠑⠡⠏⠁⠏
𒂌,73868,𒂌,1208C,letter,CUNEIFORM SIGN E OVER E NUN OVER NUN,⠑⠌⠑ ⠝⠥⠝⠌⠝⠥⠝
𒂍,73869,𒂍,1208D,letter,CUNEIFORM SIGN E2,⠑
𒂎,73870,𒂎,1208E,letter,CUNEIFORM SIGN E2 TIMES A PLUS HA PLUS DA,⠑⠡⠁⠬⠓⠁⠬⠙⠁
𒂏,73871,𒂏,1208F,letter,CUNEIFORM SIGN E2 TIMES GAR,⠑⠡⠛⠜
𒂐,73872,𒂐,12090,letter,CUNEIFORM SIGN E2 TIMES MI,⠑⠡⠍⠊
𒂑,73873,𒂑,12091,letter,CUNEIFORM SIGN E2 TIMES SAL,⠑⠡⠎⠁⠇
𒂒,73874,𒂒,12092,letter,CUNEIFORM SIGN E2 TIMES SHE,⠑⠡⠩⠑
𒂓,73875,𒂓,12093,letter,CUNEIFORM SIGN E2 TIMES U,⠑⠡⠥
𒂔,73876,𒂔,12094,letter,CUNEIFORM SIGN EDIN,⠑⠙⠊⠝
𒂕,73877,𒂕,12095,letter,CUNEIFORM SIGN EGIR,⠑⠛⠊⠗
𒂖,73878,𒂖,12096,letter,CUNEIFORM SIGN EL,⠑⠇
𒂗,73879,𒂗,12097,letter,CUNEIFORM SIGN EN,⠑⠝
𒂘,73880,𒂘,12098,letter,CUNEIFORM SIGN EN TIMES GAN2,⠑⠝⠡⠛⠁⠝
𒂙,73881,𒂙,12099,letter,CUNEIFORM SIGN EN TIMES GAN2 TENU,⠑⠝⠡⠛⠁⠝ ⠞⠑⠝⠥
𒂚,73882,𒂚,1209A,letter,CUNEIFORM SIGN EN TIMES ME,⠑⠝⠡⠍⠑
𒂛,73883,𒂛,1209B,letter,CUNEIFORM SIGN EN CROSSING EN,⠑⠝⠯⠑⠝
𒂜,73884,𒂜,1209C,letter,CUNEIFORM SIGN EN OPPOSING EN,⠑⠝⠫⠑⠝
𒂝,73885,𒂝,1209D,letter,CUNEIFORM SIGN EN SQUARED,⠑⠝⠘⠸
𒂞,73886,𒂞,1209E,letter,CUNEIFORM SIGN EREN,⠑⠗⠑⠝
𒂟,73887,𒂟,1209F,letter,CUNEIFORM SIGN ERIN2,⠑⠗⠊⠝
𒂠,73888,𒂠,120A0,letter,CUNEIFORM SIGN ESH2,⠑⠩
𒂡,73889,𒂡,120A1,letter,CUNEIFORM SIGN EZEN,⠑⠵⠑⠝
𒂢,73890,𒂢,120A2,letter,CUNEIFORM SIGN EZEN TIMES A,⠑⠵⠑⠝⠡⠁
𒂣,73891,𒂣,120A3,letter,CUNEIFORM SIGN EZEN TIMES A PLUS LAL,⠑⠵⠑⠝⠡⠁⠬⠇⠁⠇
𒂤,73892,𒂤,120A4,letter,CUNEIFORM SIGN EZEN TIMES A PLUS LAL TIMES LAL,⠑⠵⠑⠝⠡⠁⠬⠇⠁⠇⠡⠇⠁⠇
𒂥,73893,𒂥,120A5,letter,CUNEIFORM SIGN EZEN TIMES AN,⠑⠵⠑⠝⠡⠁⠝
𒂦,73894,𒂦,120A6,letter,CUNEIFORM SIGN EZEN TIMES BAD,⠑⠵⠑⠝⠡⠃⠁⠙
𒂧,73895,𒂧,120A7,letter,CUNEIFORM SIGN EZEN TIMES DUN3 GUNU,⠑⠵⠑⠝⠡⠙⠥⠝⠒ ⠛⠥⠝⠥
𒂨,73896,𒂨,120A8,letter,CUNEIFORM SIGN EZEN TIMES DUN3 GUNU GUNU,⠑⠵⠑⠝⠡⠙⠥⠝⠒ ⠛⠥⠝⠥ ⠛⠥⠝⠥
𒂩,73897,𒂩,120A9,letter,CUNEIFORM SIGN EZEN TIMES HA,⠑⠵⠑⠝⠡⠓⠁
𒂪,73898,𒂪,120AA,letter,CUNEIFORM SIGN EZEN TIMES HA GUNU,⠑⠵⠑⠝⠡⠓⠁ ⠛⠥⠝⠥
𒂫,73899,𒂫,120AB,letter,CUNEIFORM SIGN EZEN TIMES IGI GUNU,⠑⠵⠑⠝⠡⠊⠛⠊ ⠛⠥⠝⠥
𒂬,73900,𒂬,120AC,letter,CUNEIFORM SIGN EZEN TIMES KASKAL,⠑⠵⠑⠝⠡⠅⠁⠎⠅⠁⠇
𒂭,73901,𒂭,120AD,letter,CUNEIFORM SIGN EZEN TIMES KASKAL SQUARED,⠑⠵⠑⠝⠡⠅⠁⠎⠅⠁⠇⠘⠸
𒂮,73902,𒂮,120AE,letter,CUNEIFORM SIGN EZEN TIMES KU3,⠑⠵⠑⠝⠡⠅⠥⠒
𒂯,73903,𒂯,120AF,letter,CUNEIFORM SIGN EZEN TIMES LA,⠑⠵⠑⠝⠡⠇⠁
𒂰,73904,𒂰,120B0,letter,CUNEIFORM SIGN EZEN TIMES LAL TIMES LAL,⠑⠵⠑⠝⠡⠇⠁⠇⠡⠇⠁⠇
𒂱,73905,𒂱,120B1,letter,CUNEIFORM SIGN EZEN TIMES LI,⠑⠵⠑⠝⠡⠇⠊
𒂲,73906,𒂲,120B2,letter,CUNEIFORM SIGN EZEN TIMES LU,⠑⠵⠑⠝⠡⠇⠥
𒂳,73907,𒂳,120B3,letter,CUNEIFORM SIGN EZEN TIMES U2,⠑⠵⠑⠝⠡⠥
𒂴,73908,𒂴,120B4,letter,CUNEIFORM SIGN EZEN TIMES UD,⠑⠵⠑⠝⠡⠥⠙
𒂵,73909,𒂵,120B5,letter,CUNEIFORM SIGN GA,⠛⠁
𒂶,73910,𒂶,120B6,letter,CUNEIFORM SIGN GA GUNU,⠛⠁ ⠛⠥⠝⠥
𒂷,73911,𒂷,120B7,letter,CUNEIFORM SIGN GA2,⠛⠁
𒂸,73912,𒂸,120B8,letter,CUNEIFORM SIGN GA2 TIMES A PLUS DA PLUS HA,⠛⠁⠡⠁⠬⠙⠁⠬⠓⠁
𒂹,73913,𒂹,120B9,letter,CUNEIFORM SIGN GA2 TIMES A PLUS HA,⠛⠁⠡⠁⠬⠓⠁
𒂺,73914,𒂺,120BA,letter,CUNEIFORM SIGN GA2 TIMES A PLUS IGI,⠛⠁⠡⠁⠬⠊⠛⠊
𒂻,73915,𒂻,120BB,letter,CUNEIFORM SIGN GA2 TIMES AB2 TENU PLUS TAB,⠛⠁⠡⠁⠃ ⠞⠑⠝⠥⠬⠞⠁⠃
𒂼,73916,𒂼,120BC,letter,CUNEIFORM SIGN GA2 TIMES AN,⠛⠁⠡⠁⠝
𒂽,73917,𒂽,120BD,letter,CUNEIFORM SIGN GA2 TIMES ASH,⠛⠁⠡⠁⠩
