Character,Hex,Logic,Type,Name,Braille
𒄠,12120,309,letter,ADAR2,⠁⠙⠜⠆
𒄡,12121,572,letter,BIshEBA3,⠃⠊⠩⠑⠃⠁⠒
𒄢,12122,682,letter,SUN2,⠎⠥⠝⠆
𒄣,12123,339,letter,KUM,⠅⠥⠍
𒄤,12124,340,letter,GAZ,⠛⠁⠵
𒄥,12125,180,letter,GUR,⠛⠥⠗
𒄦,12126,819,letter,GUR7,⠛⠥⠗⠶
𒄧,12127,503,letter,GURUN,⠛⠥⠗⠥⠝
𒄨,12128,238,letter,GURUsh,⠛⠥⠗⠥⠩
𒄩,12129,856,letter,KU6,⠅⠥⠖
𒄪,1212A,857,letter,ZUBUD,⠵⠥⠃⠥⠙
𒄫,1212B,558GIR,letter,HAgunu,⠓⠁⠛⠥⠝⠥
𒄬,1212C,3,letter,Ash,⠁⠩
𒄭,1212D,631,letter,DU10,⠙⠥⠂⠴
𒄮,1212E,634,letter,SUR3,⠎⠥⠗⠒
𒄯,1212F,644,letter,HAR,⠓⠜
𒄰,12130,640,letter,DU15,⠙⠥⠂⠢
𒄱,12131,659,letter,shARxDIsh,⠩⠜⠭⠙⠊⠩
𒄲,12132,650,letter,shARxGAD,⠩⠜⠭⠛⠁⠙
𒄳,12133,660,letter,HIxKIN,⠓⠊⠭⠅⠊⠝
𒄴,12134,636,letter,AH,⠁⠓
𒄵,12135,643,letter,BIR,⠃⠊⠗
𒄶,12136,653,letter,DUBUR,⠙⠥⠃⠥⠗
𒄷,12137,132,letter,HU,⠓⠥
𒄸,12138,149,letter,TU11,⠞⠥⠂⠂
𒄹,12139,238,letter,HUB2xAN,⠓⠥⠃⠆⠭⠁⠝
𒄺,1213A,238,letter,HUB2xHAL,⠓⠥⠃⠆⠭⠓⠁⠇
𒄻,1213B,238,letter,HUB2xKASKAL,⠓⠥⠃⠆⠭⠅⠁⠎⠅⠁⠇
𒄼,1213C,238,letter,HUB2xLIsh,⠓⠥⠃⠆⠭⠇⠊⠩
𒄽,1213D,150,letter,HUB2xUD,⠓⠥⠃⠆⠭⠥⠙
𒄾,1213E,877,letter,HUL2,⠓⠥⠇⠆
𒄿,1213F,252,letter,I,⠊
𒅀,12140,238,letter,IA,⠊⠁
𒅁,12141,807,letter,IB,⠊⠃
𒅂,12142,238,letter,IDIM,⠊⠙⠊⠍
𒅃,12143,238,letter,IDIM/IDIMBUR,⠊⠙⠊⠍⠌⠊⠙⠊⠍⠃⠥⠗
𒅄,12144,238,letter,IDIM/IDIMsquared,⠊⠙⠊⠍⠌⠊⠙⠊⠍⠎⠟⠥⠜⠑⠙
𒅅,12145,136,letter,IK,⠊⠅
𒅆,12146,724,letter,shI,⠩⠊
𒅇,12147,731,letter,U3,⠥⠒
𒅈,12148,726,letter,AR,⠜
𒅉,12149,128,letter,IGI/IGIshIR/shIRUD/UD,⠊⠛⠊⠌⠊⠛⠊⠩⠊⠗⠌⠩⠊⠗⠥⠙⠌⠥⠙
𒅊,1214A,564,letter,SIG7,⠎⠊⠛⠶
𒅋,1214B,348,letter,IL,⠊⠇
𒅌,1214C,349,letter,ILxGAN2tenu,⠊⠇⠭⠛⠁⠝⠆⠞⠑⠝⠥
𒅍,1214D,493,letter,IL2,⠊⠇⠆
𒅎,1214E,641,letter,EM,⠑⠍
𒅏,1214F,642,letter,IMxTAK4,⠊⠍⠭⠞⠁⠅⠲
𒅐,12150,641,letter,DALHAMUN6,⠙⠁⠇⠓⠁⠍⠥⠝⠖
𒅑,12151,641,letter,IMopposingIM,⠊⠍⠕⠏⠏⠕⠎⠊⠝⠛⠊⠍
